id,competency_type_id,program,training_material_1_id,training_material_2_id
1,1,SDP,113,114
2,2,SDP,57,58
3,3,SDP,41,42
4,4,SDP,169,170
5,5,SDP,81,82
6,6,SDP,121,122
7,7,SDP,153,154
8,8,SDP,49,50
9,9,SDP,25,26
10,10,SDP,73,74
11,11,SDP,177,178
12,12,SDP,105,106
13,13,SDP,129,130
14,14,SDP,65,66
15,15,SDP,9,10
16,16,SDP,1,2
17,17,SDP,89,90
18,18,SDP,33,34
19,19,SDP,145,146
20,20,SDP,97,98
21,21,SDP,161,162
22,22,SDP,17,18
23,6,MDP,121,122
24,4,MDP,169,170
25,2,MDP,59,60
26,10,MDP,73,74
27,5,MDP,81,82
28,8,MDP,49,50
29,11,MDP,177,178
30,1,MDP,115,116
31,7,MDP,153,154
32,15,MDP,9,10
33,3,MDP,43,44
34,19,MDP,147,148
35,21,MDP,163,164
36,12,MDP,107,108
37,14,MDP,67,68
38,9,MDP,27,28
39,22,MDP,19,20
40,18,MDP,35,36
41,10,FDP,75,76
42,6,FDP,124,123
43,2,FDP,61,62
44,7,FDP,155,156
45,5,FDP,83,84
46,4,FDP,171,172
47,11,FDP,179,180
48,3,FDP,43,44
49,19,FDP,147,148
50,8,FDP,51,52
51,15,FDP,11,12
52,16,FDP,3,4
53,17,FDP,91,92
54,9,FDP,29,30
