id,report_id,competency_type_id,gap_level,priority
1,3,11,MEDIUM,1
2,3,4,MEDIUM,1
3,3,21,MEDIUM,1
4,3,7,MEDIUM,1
5,3,1,MEDIUM,1
6,3,6,MEDIUM,1
7,3,10,MEDIUM,1
8,3,2,MEDIUM,1
9,3,8,MEDIUM,1
10,3,3,MEDIUM,1
11,3,15,MEDIUM,1
12,4,4,MEDIUM,1
13,4,6,MEDIUM,1
14,4,20,MEDIUM,1
15,4,5,MEDIUM,1
16,4,2,MEDIUM,1
17,4,9,MEDIUM,1
18,4,3,MEDIUM,1
19,5,5,MEDIUM,1
20,5,10,MEDIUM,1
21,5,8,MEDIUM,1
22,5,3,MEDIUM,1
23,7,11,MEDIUM,1
24,7,4,MEDIUM,1
25,7,7,MEDIUM,1
26,7,1,MEDIUM,1
27,7,6,MEDIUM,1
28,7,17,MEDIUM,1
29,7,10,MEDIUM,1
30,7,8,MEDIUM,1
31,7,9,MEDIUM,1
32,7,3,MEDIUM,1
33,8,4,MEDIUM,1
34,8,12,MEDIUM,1
35,8,1,MEDIUM,1
36,8,20,MEDIUM,1
37,8,5,MEDIUM,1
38,8,2,MEDIUM,1
39,10,11,MEDIUM,1
40,10,4,MEDIUM,1
41,10,7,MEDIUM,1
42,10,1,MEDIUM,1
43,10,6,MEDIUM,1
44,10,5,MEDIUM,1
45,10,2,MEDIUM,1
46,10,8,MEDIUM,1
47,10,3,MEDIUM,1
48,10,18,MEDIUM,1
49,10,15,MEDIUM,1
50,11,4,MEDIUM,1
51,11,7,MEDIUM,1
52,11,13,MEDIUM,1
53,11,12,MEDIUM,1
54,11,1,MEDIUM,1
55,11,6,MEDIUM,1
56,11,17,MEDIUM,1
57,11,5,MEDIUM,1
58,11,2,MEDIUM,1
59,11,3,MEDIUM,1
60,11,18,MEDIUM,1
61,11,16,MEDIUM,1
62,12,4,MEDIUM,1
63,12,13,MEDIUM,1
64,12,1,MEDIUM,1
65,12,6,MEDIUM,1
66,12,5,MEDIUM,1
67,12,2,MEDIUM,1
68,12,3,MEDIUM,1
69,12,18,MEDIUM,1
70,12,16,MEDIUM,1
71,12,15,MEDIUM,1
72,14,11,MEDIUM,1
73,14,19,MEDIUM,1
74,14,1,MEDIUM,1
75,14,6,MEDIUM,1
76,14,10,MEDIUM,1
77,14,14,MEDIUM,1
78,14,2,MEDIUM,1
79,14,9,MEDIUM,1
80,14,3,MEDIUM,1
81,14,18,MEDIUM,1
82,16,4,MEDIUM,1
83,16,1,MEDIUM,1
84,16,6,MEDIUM,1
85,16,20,MEDIUM,1
86,16,5,MEDIUM,1
87,16,2,MEDIUM,1
88,16,8,MEDIUM,1
89,16,9,MEDIUM,1
90,16,3,MEDIUM,1
91,16,16,MEDIUM,1
92,17,4,MEDIUM,1
93,17,7,MEDIUM,1
94,17,13,MEDIUM,1
95,17,1,MEDIUM,1
96,17,6,MEDIUM,1
97,17,5,MEDIUM,1
98,17,10,MEDIUM,1
99,17,2,MEDIUM,1
100,17,8,MEDIUM,1
101,17,9,MEDIUM,1
102,17,3,MEDIUM,1
103,17,16,MEDIUM,1
