id,program,competency_code,training_topic,material_type,scheduled_date
1,SDP,LDC,Leadership & Decision Making,1,2025-10-22
2,SDP,LDC,Leadership & Decision Making,2,2026-03-01
3,SDP,DCM,Data-Driven Decision Making,1,2025-11-01
4,SDP,DCM,Data-Driven Decision Making,2,2026-03-15
5,SDP,CIO,Customer & Innovation Orientation,1,2025-11-15
6,SDP,CIO,Customer & Innovation Orientation,2,2026-04-01
7,SDP,SIO,Strategic & Innovation Orientation,1,2025-12-01
8,SDP,SIO,Strategic & Innovation Orientation,2,2026-04-15
9,SDP,FLX,Flexibility,1,2025-12-15
10,SDP,FLX,Flexibility,2,2026-05-01
11,SDP,LAG,Learning Agility,1,2026-01-01
12,SDP,LAG,Learning Agility,2,2026-05-15
13,SDP,RSC,Resilience,1,2026-02-01
14,SDP,RSC,Resilience,2,2026-06-01
15,SDP,CSO,Collaboration & Social Intelligence,1,2026-02-15
16,SDP,CSO,Collaboration & Social Intelligence,2,2026-06-15
17,SDP,COM,Communication,1,2025-10-15
18,SDP,COM,Communication,2,2026-05-22
19,SDP,EMP,Empathy,1,2025-11-08
20,SDP,EMP,Empathy,2,2026-06-08
21,SDP,TOR,Thinking Outside of the Box & Risk Taking,1,2025-11-22
22,SDP,TOR,Thinking Outside of the Box & Risk Taking,2,2026-06-22
23,SDP,LDP,Leadership Performance,1,2025-12-08
24,SDP,LDP,Leadership Performance,2,2026-07-08
25,SDP,PNO,Problem Solving & Initiating Change,1,2025-12-22
26,SDP,PNO,Problem Solving & Initiating Change,2,2026-07-22
27,SDP,DIR,Directing People,1,2026-01-08
28,SDP,DIR,Directing People,2,2026-08-08
29,SDP,ACH,Achievement & Action,1,2026-01-22
30,SDP,ACH,Achievement & Action,2,2026-08-22
31,SDP,ACT,Acting Strategically,1,2026-02-08
32,SDP,ACT,Acting Strategically,2,2026-09-08
33,SDP,IDS,Influence & Developing Self,1,2026-02-22
34,SDP,IDS,Influence & Developing Self,2,2026-09-22
35,SDP,CFO,Customer Focus,1,2026-03-08
36,SDP,CFO,Customer Focus,2,2026-10-01
37,SDP,RBG,Result Based Goal Setting,1,2026-03-22
38,SDP,RBG,Result Based Goal Setting,2,2026-10-15
39,SDP,ING,Integrity,1,2026-04-08
40,SDP,ING,Integrity,2,2026-11-08
41,SDP,RSF,Result Focused Self-Leadership,1,2026-04-22
42,SDP,RSF,Result Focused Self-Leadership,2,2026-11-22
43,SDP,BAC,Building & Cooperation,1,2026-05-08
44,SDP,BAC,Building & Cooperation,2,2026-12-08
45,MDP,LAG,Learning Agility,1,2025-10-15
46,MDP,LAG,Learning Agility,2,2026-03-01
47,MDP,SIO,Strategic & Innovation Orientation,1,2025-11-01
48,MDP,SIO,Strategic & Innovation Orientation,2,2026-03-15
49,MDP,DCM,Data-Driven Decision Making,1,2025-11-15
50,MDP,DCM,Data-Driven Decision Making,2,2026-04-01
51,MDP,EMP,Empathy,1,2025-12-01
52,MDP,EMP,Empathy,2,2026-04-15
53,MDP,FLX,Flexibility,1,2025-12-15
54,MDP,FLX,Flexibility,2,2026-05-01
55,MDP,CSO,Collaboration & Social Intelligence,1,2026-01-01
56,MDP,CSO,Collaboration & Social Intelligence,2,2026-05-15
